-1.747184,1.213281,0.784190,-0.008890,0.001298,-0.002623,0.999956,0.057097,0.280765,0.296935,0.153456,-0.142100,-0.129394,-0.056278,-0.167259,-0.202457,0.219114,-0.126067,0.074958,0.021625,0.052843,0.010349,0.428037,0.350145,-0.142500,0.632658,0.034853,0.039623,-0.307870,0.361067,-0.374818,0.041582,0.689035,-0.143342,0.066093,0.339309
-1.747906,1.211951,0.784007,-0.009355,0.00107,-0.004501,0.999946,0.054653,0.286226,0.298485,0.161118,-0.143406,-0.13345,-0.058883,-0.162593,-0.19857,0.22214,-0.127746,0.071687,0.021653,0.05893,0.013247,0.419379,0.34744,-0.12838,0.609956,0.03637,0.038653,-0.307353,0.373138,-0.431538,0.117198,0.638675,-0.149613,0.068558,0.338449
-1.74958,1.209025,0.783573,-0.01041,0.00067,-0.008348,0.999911,0.047186,0.298428,0.30014,0.180053,-0.146054,-0.142082,-0.064072,-0.15231,-0.190948,0.227537,-0.130841,0.064584,0.020078,0.072978,0.02037,0.407283,0.350322,-0.099532,0.55339,0.042738,0.036351,-0.306783,0.409646,-0.556678,0.199688,0.515935,-0.154948,0.073814,0.335384
-1.752205,1.206016,0.783176,-0.012556,0.00058,-0.014278,0.999819,0.035088,0.313908,0.302175,0.206437,-0.150269,-0.150494,-0.072029,-0.139113,-0.180529,0.233856,-0.133835,0.056826,0.015252,0.088557,0.03114,0.388601,0.360994,-0.100908,0.494366,0.049686,0.035988,-0.30096,0.470308,-0.686113,0.208517,0.369639,-0.155756,0.078427,0.332866
-1.754364,1.202932,0.783116,-0.013492,0.001059,-0.018922,0.999729,0.015363,0.32698,0.300088,0.240946,-0.153165,-0.156919,-0.084454,-0.129032,-0.169063,0.245989,-0.138408,0.049768,0.005168,0.106928,0.043475,0.370561,0.410298,-0.087522,0.43526,0.054774,0.035458,-0.293501,0.510393,-0.827054,0.194395,0.254411,-0.15355,0.082123,0.331409
-1.757398,1.200194,0.783215,-0.013739,0.001723,-0.022598,0.999649,-0.011651,0.337649,0.291954,0.281767,-0.14629,-0.160995,-0.099797,-0.121672,-0.157764,0.261567,-0.144135,0.04386,-0.00538,0.120683,0.058115,0.345085,0.485424,-0.084194,0.377254,0.056974,0.035968,-0.285545,0.532265,-0.976166,0.157126,0.184838,-0.148655,0.085302,0.329812
-1.760949,1.197763,0.783766,-0.012415,0.001996,-0.025857,0.999587,-0.042032,0.343972,0.278656,0.32469,-0.125088,-0.165703,-0.113888,-0.118386,-0.147288,0.274429,-0.147746,0.039088,-0.016271,0.125304,0.072471,0.319526,0.585729,-0.086711,0.305409,0.055186,0.036216,-0.276634,0.542637,-1.132773,0.082804,0.188342,-0.14062,0.084708,0.32902
-1.764634,1.195881,0.784555,-0.008756,0.002929,-0.027798,0.999571,-0.074351,0.343644,0.263014,0.365187,-0.099012,-0.170964,-0.126376,-0.120936,-0.139277,0.28003,-0.146319,0.035427,-0.026281,0.124891,0.084694,0.264448,0.687136,-0.089243,0.250794,0.051975,0.037029,-0.268142,0.519472,-1.24991,0.040395,0.206441,-0.131049,0.083624,0.324498
-1.768303,1.194819,0.785021,-0.004783,0.00407,-0.029375,0.999549,-0.102273,0.339505,0.250897,0.397167,-0.079161,-0.171037,-0.139244,-0.12574,-0.13161,0.283903,-0.142371,0.033199,-0.033473,0.122601,0.094609,0.177977,0.790888,-0.105565,0.20962,0.049704,0.037783,-0.260818,0.462179,-1.332848,0.003721,0.253355,-0.119402,0.083589,0.313273
-1.771746,1.194866,0.784802,-0.001482,0.00464,-0.032573,0.999457,-0.117477,0.331395,0.245399,0.411507,-0.080027,-0.169116,-0.153028,-0.129778,-0.120381,0.289437,-0.138301,0.03243,-0.03603,0.120196,0.102457,0.063645,0.883747,-0.124663,0.181249,0.049327,0.036093,-0.255733,0.352844,-1.357748,-0.032694,0.346335,-0.106677,0.08352,0.295813
-1.774788,1.196582,0.784053,0.001153,0.005109,-0.041731,0.999115,-0.119607,0.314192,0.240033,0.408054,-0.108312,-0.167761,-0.171452,-0.131467,-0.099238,0.299697,-0.134947,0.033824,-0.033135,0.115402,0.107087,-0.068288,0.942474,-0.139742,0.154718,0.052657,0.033128,-0.251908,0.195882,-1.372818,-0.019198,0.399548,-0.092986,0.08596,0.271551
-1.778594,1.199904,0.782587,0.002954,0.006884,-0.054748,0.998472,-0.109848,0.292309,0.245842,0.378799,-0.142332,-0.177843,-0.192378,-0.131266,-0.072898,0.308331,-0.1313,0.038288,-0.034091,0.112073,0.109258,-0.172999,0.97154,-0.123405,0.138735,0.057768,0.028189,-0.247522,-0.02726,-1.336374,0.033075,0.442127,-0.082737,0.090284,0.243593
-1.782201,1.203755,0.781609,0.003755,0.008013,-0.064367,0.997887,-0.095032,0.270876,0.265368,0.338651,-0.16564,-0.180859,-0.206214,-0.132374,-0.05255,0.310887,-0.125878,0.045429,-0.036407,0.106035,0.109323,-0.300998,0.951385,-0.120766,0.122393,0.062128,0.021733,-0.242482,-0.246595,-1.260292,0.091199,0.480873,-0.076894,0.094158,0.214821
-1.783893,1.209104,0.781249,0.003507,0.008179,-0.070432,0.997477,-0.082975,0.254779,0.290908,0.310164,-0.182678,-0.144431,-0.214171,-0.135593,-0.038123,0.312121,-0.120091,0.054667,-0.031394,0.094181,0.109919,-0.450297,0.900366,-0.14946,0.115374,0.06388,0.014841,-0.236898,-0.391792,-1.181277,0.122709,0.473993,-0.071384,0.095742,0.186735
-1.785661,1.214834,0.780721,0.002399,0.008584,-0.073416,0.997262,-0.084029,0.244541,0.300827,0.305297,-0.192275,-0.111469,-0.223565,-0.14062,-0.027631,0.32028,-0.118046,0.06584,-0.031182,0.078464,0.112738,-0.61272,0.821615,-0.200338,0.124655,0.064081,0.008224,-0.231678,-0.459146,-1.101269,0.148391,0.362853,-0.066897,0.099571,0.16067
-1.787564,1.220619,0.779909,0.002464,0.007477,-0.07413,0.997217,-0.089862,0.232853,0.298992,0.314759,-0.198877,-0.093687,-0.240494,-0.150799,-0.016853,0.351275,-0.125724,0.079243,-0.032766,0.055094,0.118818,-0.761562,0.720766,-0.265856,0.121811,0.065603,0.002979,-0.227847,-0.4208,-1.060698,0.133144,0.182783,-0.065907,0.10825,0.135604
-1.789318,1.227823,0.778227,0.006825,0.003937,-0.077583,0.996955,-0.091551,0.214823,0.30377,0.331611,-0.209208,-0.08195,-0.265866,-0.168524,0.002332,0.402429,-0.138744,0.09512,-0.029729,0.020796,0.130263,-0.83726,0.625424,-0.290398,0.101058,0.07233,-0.002188,-0.225741,-0.372289,-0.999026,0.101855,0.026383,-0.072449,0.117626,0.113018
-1.790877,1.234284,0.776396,0.013284,-0.001889,-0.084379,0.996343,-0.088836,0.19663,0.31623,0.355598,-0.224797,-0.073936,-0.296704,-0.187043,0.026351,0.464286,-0.143482,0.110777,-0.027842,-0.014418,0.144808,-0.873271,0.53975,-0.311238,0.061096,0.083772,-0.009281,-0.225277,-0.335615,-0.92799,0.084248,-0.095445,-0.088517,0.125023,0.094095
-1.79251,1.240231,0.774883,0.018933,-0.008355,-0.098008,0.99497,-0.083638,0.183827,0.335968,0.38254,-0.241008,-0.065795,-0.339371,-0.197692,0.056001,0.534686,-0.120343,0.124972,-0.026735,-0.043046,0.158173,-0.871475,0.466937,-0.321911,0.011051,0.097754,-0.017029,-0.227746,-0.323936,-0.853196,0.095003,-0.184717,-0.109788,0.130607,0.079949
